date,issue_number,headline,section,type,text_excerpt
Agosto 5 de 1916,1609,El periodismo departamental,Sin sección,article,"En ninguna otra sección de la Repúbhơn, exerpción hecha de Lima, se ha ditandido más la afición al periodismo, que en nostra."
,,,Sin sección,advertisement,"ROMULO MENCHOLA
VENDEDOR Y COBRADOR
De las afamadas máquinas"
